iter	Passed	Remaining
0	57	57734
1	58	28958
2	58	19367
3	58	14576
4	58	11693
5	58	9773
6	59	8404
7	59	7372
8	59	6569
9	59	5929
10	60	5405
11	60	4970
12	60	4604
13	60	4288
14	61	4012
15	61	3771
16	61	3560
17	61	3372
18	62	3202
19	62	3049
20	62	2910
21	62	2784
22	62	2669
23	63	2563
24	63	2466
25	63	2377
26	63	2294
27	63	2216
28	64	2144
29	64	2078
30	64	2016
31	64	1957
32	64	1902
33	65	1850
34	65	1801
35	65	1755
36	65	1711
37	65	1670
38	66	1630
39	66	1593
40	66	1557
41	66	1523
42	67	1491
43	67	1460
44	67	1431
45	67	1402
46	67	1375
47	68	1350
48	68	1325
49	68	1301
50	68	1278
51	68	1256
52	69	1236
53	69	1216
54	69	1196
55	69	1177
56	70	1158
57	70	1140
58	70	1123
59	70	1106
60	70	1090
61	71	1074
62	71	1059
63	71	1044
64	71	1030
65	71	1016
66	72	1003
67	72	990
68	72	977
69	72	964
70	72	952
71	73	941
72	73	929
73	73	918
74	73	907
75	73	897
76	74	887
77	74	877
78	74	867
79	74	857
80	74	848
81	74	839
82	75	829
83	75	820
84	75	812
85	75	803
86	75	795
87	76	787
88	76	780
89	76	772
90	76	765
91	76	758
92	76	750
93	77	744
94	77	737
95	77	730
96	77	724
97	78	718
98	78	711
99	78	705
100	78	699
101	78	693
102	79	688
103	79	682
104	79	676
105	79	671
106	79	665
107	79	660
108	80	655
109	80	650
110	80	645
111	80	640
112	80	635
113	81	630
114	81	626
115	81	621
116	81	616
117	81	612
118	82	607
119	82	603
120	82	599
121	82	594
122	82	590
123	83	586
124	83	582
125	83	578
126	83	574
127	83	570
128	84	567
129	84	563
130	84	559
131	84	556
132	84	552
133	84	549
134	85	546
135	85	542
136	85	539
137	85	536
138	86	533
139	86	529
140	86	526
141	86	522
142	86	519
143	86	516
144	87	513
145	87	510
146	87	507
147	87	504
148	87	502
149	88	499
150	88	496
151	88	493
152	88	491
153	88	488
154	89	485
155	89	483
156	89	480
157	89	478
158	89	475
159	90	473
160	90	470
161	90	468
162	90	466
163	90	463
164	91	461
165	91	458
166	91	456
167	91	454
168	91	451
169	92	449
170	92	447
171	92	445
172	92	442
173	92	440
174	93	438
175	93	436
176	93	434
177	93	432
178	93	430
